,symbol,exchange,type,organ_short_name,organ_name,product_grp_id
625,PTL,HSX,STOCK,Victory Group,Công ty Cổ phần Victory Group,STO
626,PTI,HNX,STOCK,Bảo hiểm Bưu điện,Tổng Công ty Cổ phần Bảo hiểm Bưu điện,STX
627,PTH,UPCOM,STOCK,Vận tải và DV Petrolimex Hà Tây,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hà Tây,UPX
628,PTG,UPCOM,STOCK,May Phan Thiết,Công ty Cổ phần May Xuất Khẩu Phan Thiết,UPX
629,PTE,UPCOM,STOCK,Xi măng Phú Thọ,Công ty Cổ phần Xi măng Phú Thọ,UPX
630,PTD,HNX,STOCK,Thiết kế-XD-TM Phúc Thịnh,Công ty Cổ phần Thiết kế - Xây dựng - Thương mại Phúc Thịnh,STX
631,PTC,HSX,STOCK,Đầu tư ICAPITAL,Công ty Cổ phần Đầu tư ICAPITAL,STO
632,PTB,HSX,STOCK,Công ty Cổ phần Phú Tài,Công ty Cổ phần Phú Tài,STO
633,PSW,HNX,STOCK,Phân bón hóa chất dầu khí Tây Nam Bộ,Công ty Cổ phần Phân bón và hóa chất dầu khí Tây Nam Bộ,STX
634,PSP,UPCOM,STOCK,DV Dầu Khí Đình Vũ,Công ty Cổ phần Cảng Dịch vụ Dầu khí Đình Vũ,UPX
635,PSN,UPCOM,STOCK,PTSC Thanh Hóa,Công ty Cổ phần Dịch vụ Kỹ thuật PTSC Thanh Hóa,UPX
636,PSL,UPCOM,STOCK,Chăn nuôi Phú Sơn,Công ty Cổ phần Chăn nuôi Phú Sơn,UPX
637,PSI,HNX,STOCK,Chứng khoán Dầu khí,Công ty Cổ phần Chứng khoán Dầu khí,STX
638,PSH,UPCOM,STOCK,TMại ĐT Dầu khí Nam Sông Hậu,Công ty Cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,UPX
639,PSG,UPCOM,STOCK,XL Dầu khí Sài Gòn,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,UPX
640,PSE,HNX,STOCK,Phân bón và hóa chất dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và hóa chất dầu khí Đông Nam Bộ,STX
641,PSD,HNX,STOCK,Phân phối Tổng hợp Dầu khí,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,STX
642,PSC,HNX,STOCK,Vận tải Petrolimex SG,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn,STX
643,PSB,UPCOM,STOCK,Sao Mai Bến Đình,Công ty Cổ phần Đầu tư Dầu khí Sao Mai Bến Đình,UPX
644,PRT,UPCOM,STOCK,Sản xuất - XNK Bình Dương,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần,UPX
645,PRO,UPCOM,STOCK,Procimex Việt Nam,Công ty Cổ phần Procimex Việt Nam,UPX
646,PRE,HNX,STOCK,Tái bảo hiểm PVI,Tổng Công ty Cổ phần Tái bảo hiểm Hà Nội,STX
647,PRC,HNX,STOCK,Vận tải Portserco,Công ty Cổ phần Logistics Portserco,STX
648,PQN,UPCOM,STOCK,DV Dầu khí Quảng Ngãi PTSC,Công ty Cổ phần Dịch vụ Dầu khí Quảng Ngãi PTSC,UPX
649,PPY,HNX,STOCK,Xăng dầu dầu khí Phú Yên,Công ty Cổ phần Xăng dầu dầu khí Phú Yên,STX
650,PPT,HNX,STOCK,Petro Times,Công ty cổ phần Petro Times,STX
651,PPS,HNX,STOCK,DVKT Điện lực Dầu khí,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,STX
652,PPP,HNX,STOCK,PP.Pharco,Công ty Cổ phần Dược phẩm Phong Phú,STX
653,PPI,UPCOM,STOCK,BĐS Thái Bình Dương,Công ty Cổ phần Đầu tư và Phát triển dự án hạ tầng Thái Bình Dương,UPX
654,PPH,UPCOM,STOCK,Phong Phú Corp.,Tổng Công ty Cổ phần Phong Phú,UPX
655,PPE,HNX,STOCK,PVPower Engineering,Công ty Cổ phần Tư vấn Đầu tư PP Enterprise,STX
